Designator,Footprint,Quantity,Value,LCSC Part #
"C2, C3",0805,2,22uf,
J2,TerminalBlock_Altech_AK300-2_P5.00mm,1,Extra Battery,
SW1,SW_PUSH-12mm_Wuerth-430476085716,1,Right,
SW2,SW_PUSH-12mm_Wuerth-430476085716,1,Left,
SW3,SW_PUSH-12mm_Wuerth-430476085716,1,Top,
SW4,SW_PUSH-12mm_Wuerth-430476085716,1,Bottom,
SW5,SW_PUSH-12mm_Wuerth-430476085716,1,CONFIG1,
SW6,SW_PUSH-12mm_Wuerth-430476085716,1,CONFIG2,
SW7,SW_PUSH-12mm_Wuerth-430476085716,1,CONFIG3,
SW8,SW_PUSH-12mm_Wuerth-430476085716,1,CONFIG4,
SW9,SW_JS202011SCQN,1,Slideswitch,
U1,XIAO-ESP32C3-DIP,1,XIAO-ESP32-C3-DIP,
U2,SOT-223-3_TabPin2,1,AMS1117-5.0,
U3,MODULE_358,1,358,
